Welche Zahlungsarten akzeptieren Sie für Zimmerreservierungen und Restaurantrechnungen?	infoline-deu
Können Sie Informationen zur Barrierefreiheit für Gäste mit besonderen Bedürfnissen bereitstellen?	infoline-deu
Erzählen Sie mir von Ihrem Treueprogramm und den Vorteilen für Stammgäste.	infoline-deu
Your menu is very good	remarks
the waiting time was a little long I think	remarks
I was satisfied with my stay, see you next time	remarks
I have some comments about the service during my stay at your hotel. How can I share them?	remarks
I wanted to express my appreciation for the excellent service I received during my visit.	remarks
Ihre Speisekarte ist sehr gut.	bemerkungen
Die Wartezeit war meiner Meinung nach etwas lang.	bemerkungen
Ich war mit meinem Aufenthalt zufrieden, bis zum nächsten Mal.	bemerkungen
Ich habe einige Anmerkungen zum Service während meines Aufenthalts in Ihrem Hotel. Wie kann ich sie teilen?	bemerkungen
Ich möchte meine Wertschätzung für den hervorragenden Service zum Ausdruck bringen, den ich während meines Besuchs erhalten habe.	bemerkungen
I have a suggestion regarding the menu. Where can I submit it?	remarks
Is there a feedback form I can fill out to share my thoughts on the room cleanliness?	remarks
I'd like to leave a positive review for the attentive staff at your restaurant.	remarks
I have some concerns about noise levels in my room. Can someone address this?	remarks
I wanted to compliment the chef on the outstanding meal I had at your restaurant.	remarks
Ich habe einen Vorschlag bezüglich der Speisekarte. Wo kann ich es einreichen?	bemerkungen
Gibt es ein Feedback-Formular, das ich ausfüllen kann, um meine Gedanken zur Zimmersauberkeit mitzuteilen?	bemerkungen
Ich möchte eine positive Bewertung für das aufmerksame Personal in Ihrem Restaurant hinterlassen.	bemerkungen
Ich habe einige Bedenken hinsichtlich des Geräuschpegels in meinem Zimmer. Kann jemand darauf eingehen?	bemerkungen
Ich wollte dem Koch ein Kompliment für das hervorragende Essen machen, das ich in Ihrem Restaurant gegessen habe.	bemerkungen
I have a few remarks about the check-in process. How can I provide this feedback?	remarks
Can you guide me on how to leave a review about the overall hotel experience?	remarks
I'd like to share some positive comments about the ambiance in your restaurant.	remarks
I encountered a problem with the heating in my room. How can this be addressed?	remarks
I wanted to express my gratitude for the prompt resolution of a concern I raised.	remarks
Ich habe ein paar Anmerkungen zum Check-in-Vorgang. Wie kann ich dieses Feedback geben?	bemerkungen
Können Sie mir zeigen, wie ich eine Bewertung zum gesamten Hotelerlebnis abgeben kann?	bemerkungen
Ich möchte Ihnen einige positive Kommentare zum Ambiente in Ihrem Restaurant mitteilen.	bemerkungen
Ich hatte ein Problem mit der Heizung in meinem Zimmer. Wie kann dies angegangen werden?	bemerkungen
Ich wollte mich für die schnelle Lösung eines von mir geäußerten Anliegens bedanken.	bemerkungen
I have feedback on the room service. How can I make sure it reaches the right department?	remarks
I'd like to report a minor issue with the bathroom amenities in my room.	remarks
I have some positive remarks about the professionalism of your front desk staff.	remarks
Can you provide information on how customer feedback is used to improve services?	remarks
I'd like to share a compliment about the efficiency of your hotel's check-out process.	remarks
Ich habe Feedback zum Zimmerservice. Wie kann ich sicherstellen, dass es die richtige Abteilung erreicht?	bemerkungen
Ich möchte ein kleines Problem mit den Toilettenartikeln in meinem Zimmer melden.	bemerkungen
Ich habe einige positive Bemerkungen über die Professionalität Ihres Personals an der Rezeption.	bemerkungen
Können Sie Auskunft darüber geben, wie Kundenfeedback zur Verbesserung der Dienstleistungen genutzt wird?	bemerkungen
Ich möchte Ihnen ein Kompliment für die Effizienz des Check-out-Prozesses in Ihrem Hotel aussprechen.	bemerkungen
